code|text_fr|text_de|text_it|version|inclusions_de|inclusions_fr|inclusions_it|exclusions_de|exclusions_fr|exclusions_it|descriptions_de|descriptions_fr|descriptions_it|most_relevant_drgs
04.81.0|Détail de la sous-catégorie 04.81|Detail der Subkategorie 04.81|Dettaglio della sottocategoria 04.81|CHOP 2015||||||||||{}
04.81.00|Injection d'anesthésique dans un nerf périphérique pour analgésie, SAP|Injektion eines Anästhetikums in einen peripheren Nerv zur Analgesie, n.n.bez.|Iniezione di anestetico in nervo periferico per analgesia, NAS|CHOP 2015||||||||||{}
04.81.1|Injection / perfusion de médicament au contact de nerfs périphériques pour traitement de la douleur|Injektion / Infusion eines Medikamentes an periphere Nerven zur Schmerztherapie|Iniezione / infusione di anestetico in nervo periferico per terapia del dolore|CHOP 2015||||||||||{}
04.81.10|Injection / perfusion de médicament au contact de nerfs périphériques pour traitement de la douleur, SAP|Injektion / Infusion eines Medikamentes an periphere Nerven zur Schmerztherapie, n.n.bez.|Iniezione / infusione di anestetico in nervo periferico per terapia del dolore, NAS|CHOP 2015||||||||||{}
04.81.11|Injection / perfusion de médicament au contact de nerfs périphériques pour traitement de la douleur, sans imagerie|Injektion / Infusion eines Medikamentes an periphere Nerven zur Schmerztherapie ohne bildgebende Verfahren (BV)|Iniezione / infusione di anestetico in nervo periferico per terapia del dolore senza procedura per immagini (imaging)|CHOP 2015||||||||||{}
04.81.12|Injection / perfusion de médicament au contact de nerfs périphériques pour traitement de la douleur, avec imagerie|Injektion / Infusion eines Medikamentes an periphere Nerven zur Schmerztherapie mit BV|Iniezione / infusione di anestetico in nervo periferico per terapia del dolore con imaging|CHOP 2015||||||||||{}
04.81.19|Injection / perfusion de médicament au contact de nerfs périphériques pour traitement de la douleur, autre|Injektion / Infusion eines Medikamentes an periphere Nerven zur Schmerztherapie, sonstige|Iniezione / infusione di anestetico in nervo periferico per terapia del dolore, altro|CHOP 2015||||||||||{}
04.81.2|Injection de médicament au contact de racines nerveuses et de nerfs proches du rachis pour traitement de la douleur|Injektion eines Medikamentes an Nervenwurzeln und wirbelsäulennahe Nerven zur Schmerztherapie|Iniezione di medicamento in radici nervose e nervi vicini alla colonna vertebrale per terapia del dolore|CHOP 2015|{Bildgebendes Verfahren, z.B. Computertomographie, Fluoroskopie oder Sonographie}|{Méthode d'imagerie, p. ex. tomographie axiale computérisée (CT-scan), fluoroscopie ou échographie.}|{Procedura per immagini, es. tomografia computerizzata, fluoroscopia o ecografia}|||||||{}
04.81.20|Injection de médicament dans le système nerveux sympathique pour analgésie|Injektion eines Medikamentes an Nervenwurzeln und wirbelsäulennahe Nerven zur Schmerztherapie, n.n.bez.|Iniezione di medicamento in radici nervose e nervi vicini alla colonna vertebrale per terapia del dolore, NAS|CHOP 2015||||||||||{}
04.81.21|Injection de médicament dans la colonne cervicale pour traitement de la douleur, sans imagerie|Injektion eines Medikamentes zur Schmerztherapie an der Halswirbelsäule, ohne BV|Iniezione di medicamento per terapia del dolore nella colonna cervicale, senza imaging|CHOP 2015||||||||||{}
04.81.22|Injection de médicament dans la colonne cervicale pour traitement de la douleur, avec imagerie|Injektion eines Medikamentes zur Schmerztherapie an der Halswirbelsäule, mit BV|Iniezione di medicamento per terapia del dolore nella colonna cervicale, con imaging|CHOP 2015||||||||||{}
04.81.23|Injection de médicament dans la colonne dorsale pour traitement de la douleur, avec imagerie|Injektion eines Medikamentes zur Schmerztherapie an der Brustwirbelsäule, mit BV|Iniezione di medicamento per terapia del dolore nella colonna toracica, con imaging|CHOP 2015||||||||||{}
04.81.24|Injection de médicament dans la colonne lombaire pour traitement de la douleur, avec imagerie|Injektion eines Medikamentes zur Schmerztherapie an der Lendenwirbelsäule, mit BV|Iniezione di medicamento per terapia del dolore nella colonna lombare, con imaging|CHOP 2015||||||||||{}
04.81.25|Injection de médicament dans autre site de la colonne vertébrale pour traitement de la douleur, avec imagerie|Injektion eines Medikamentes zur Schmerztherapie sonstige Wirbelsäule Lokalisation, mit BV|Iniezione di medicamento per terapia del dolore in altra sede della colonna vertebrale, con imaging|CHOP 2015||||||||||{}
04.81.29|Injection de médicament au contact de racines nerveuses et de nerfs proches du rachis pour traitement de la douleur, autre|Injektion eines Medikamentes an Nervenwurzeln und wirbelsäulennahe Nerven zur Schmerztherapie, sonstige|Iniezione di medicamento in radici nervose e nervi vicini alla colonna vertebrale per terapia del dolore, altro|CHOP 2015||||||||||{}
04.81.40|Injection d'anesthésique dans le canal rachidien pour anesthésie opératoire|Injektion eines Anästhetikums in den Spinalkanal zur operativen Anästhesie|Iniezione di anestetico nel canale vertebrale per anestesia operatoria|CHOP 2015||||||||||{}
04.81.41|Injection d'anesthésique au contact de nerfs périphériques pour anesthésie opératoire|Injektion eines Anästhetikums  an peripheren Nerven zur operativen Anästhesie|Iniezione di anestetico in nervo periferico per anestesia operatoria|CHOP 2015||||||||||{}
04.81.99|Injection d'anesthésique dans un nerf périphérique pour analgésie, autre|Injektion eines Anästhetikums in einen peripheren Nerv zur Analgesie, sonstige|Iniezione di anestetico in nervo periferico per analgesia, altro|CHOP 2015||||||||||{}
04.89|Injection d'autre agent dans un nerf périphérique, sauf neurolytique|Injektion einer anderen Substanz, mit Ausnahme eines Neurolytikums|Iniezione di altre sostanze, esclusi i neurolitici|CHOP 2015||||{Destruktion von peripheren Nerven durch Injektion einer neurolytischen Substanz (04.2)}|{Destruction de nerf périphérique, par injection d'agent neurolytique (04.2)}|{Distruzione di nervi periferici, iniezione di sostanze neurolitiche (04.2)}||||{}
04.9|Autres opérations de nerf crânien et périphérique|Sonstige Operationen an kranialen und peripheren Nerven|Altri interventi sui nervi cranici e periferici|CHOP 2015||||||||||{}
04.91|Neurectasie|Neurektasie|Stiramento di nervo (neurectasia)|CHOP 2015||||||||||{}
04.92|Implantation ou remplacement d'électrode(s) de neurostimulateur périphérique|Implantation oder Ersetzen der Elektrode(n) eines peripheren Neurostimulators|Inserzione o sostituzione di elettrodo(i) di neurostimolatore periferico|CHOP 2015||||||||||{}
04.92.0|Détail de la sous-catégorie 04.92|Detail der Subkategorie 04.92|Dettaglio della sottocategoria 04.92|CHOP 2015||||||||||{}
04.92.00|Implantation ou remplacement d'électrode(s) de neurostimulateur périphérique, SAP|Implantation oder Ersetzen der Elektrode(n) eines peripheren Neurostimulators, n.n.bez.|Inserzione o sostituzione di elettrodo(i) di neurostimolatore periferico, NAS|CHOP 2015||||||||||{}
04.92.10|Implantation ou remplacement d'électrode(s) de neurostimulateur périphérique temporaire, système à une électrode, test de stimulation|Implantation oder Ersetzen der Elektrode(n) eines temporären peripheren Neurostimulators, Einzelelektrodensystems, Teststimulation|Inserzione o sostituzione di elettrodo(i) di neurostimolatore periferico temporaneo, sistema a elettrodo singolo, (stimolazione di prova)|CHOP 2015||||||||||{}
04.92.11|Implantation ou remplacement d'électrode(s) de neurostimulateur périphérique temporaire, système à plusieurs électrodes, test de stimulation|Implantation oder Ersetzen der Elektrode(n) eines temporären peripheren Neurostimulators, Mehrelektrodensystems, Teststimulation|Inserzione o sostituzione di elettrodo(i) di neurostimolatore periferico temporaneo, sistema a più elettrodi, (stimolazione di prova)|CHOP 2015||||||||||{}
04.92.20|Implantation ou remplacement d'électrode(s) de neurostimulateur périphérique permanent par voie percutanée, électrode en baguette, système à une électrode|Implantation oder Ersetzen der Elektrode(n) eines permanenten peripheren Neurostimulators, Stabelektrode, Einzelelektrodensystems, perkutan|Inserzione o sostituzione di elettrodo(i) di neurostimolatore periferico permanente, elettrodo cilindrico, sistema a elettrodo singolo, percutanea|CHOP 2015||||||||||{}
04.92.21|Implantation ou remplacement d'électrode(s) de neurostimulateur périphérique permanent par voie percutanée, électrode en baguette, système à plusieurs électrodes|Implantation oder Ersetzen der Elektrode(n) eines permanenten peripheren Neurostimulators, Stabelektrode, Mehrelektrodensystems, perkutan|Inserzione o sostituzione di elettrodo(i) di neurostimolatore periferico permanente, elettrodo cilindrico, sistema a più elettrodi, percutanea|CHOP 2015||||||||||{}
04.92.30|Implantation ou remplacement par voie chirurgicale ouverte d'électrode(s) de neurostimulateur périphérique permanent, électrode à plaque, système à une électrode|Implantation oder Ersetzen der Elektrode(n) eines permanenten peripheren Neurostimulators, Plattenelektrode, Einzelelektrodensystems, offen chirurgisch|Inserzione o sostituzione di elettrodo(i) di neurostimolatore periferico permanente, elettrodo piatto, sistema a elettrodo singolo, chirurgica a cielo aperto|CHOP 2015||||||||||{}
04.92.31|Implantation ou remplacement par voie chirurgicale ouverte d'électrode(s) de neurostimulateur périphérique permanent, électrode à plaque, système à plusieurs électrodes|Implantation oder Ersetzen der Elektrode(n) eines permanenten peripheren Neurostimulators, Plattenelektrode, Mehrelektrodensystems, offen chirurgisch|Inserzione o sostituzione di elettrodo(i) di neurostimolatore periferico permanente, elettrodo piatto, sistema a più elettrodi, chirurgica a cielo aperto|CHOP 2015||||||||||{}
04.92.40|Implantation ou remplacement d'électrode de stimulation du nerf vague|Implantation oder Ersetzen einer Vagusnervstimulationselektrode|Inserzione o sostituzione di elettrodo stimolatore del nervo vago|CHOP 2015||||||||||{}
04.92.99|Implantation ou remplacement d'électrode(s) de neurostimulateur périphérique, autre|Implantation oder Ersetzen der Elektrode(n) eines peripheren Neurostimulators, sonstige|Inserzione o sostituzione di elettrodo(i) di neurostimolatore periferico, altro|CHOP 2015||||||||||{}
04.93|Ablation d'électrode(s) de neurostimulateur périphérique|Entfernen der Elektrode(n) eines peripheren Neurostimulators|Rimozione di elettrodo(i) di neurostimolatore periferico|CHOP 2015||||||||||{}
04.93.0|Détail de la sous-catégorie 04.93|Detail der Subkategorie 04.93|Dettaglio della sottocategoria 04.93|CHOP 2015||||||||||{}
04.93.00|Ablation d'électrode(s) de neurostimulateur périphérique, SAP|Entfernen der Elektrode(n) eines peripheren Neurostimulators, n.n.bez.|Rimozione di elettrodo(i) di neurostimolatore periferico, NAS|CHOP 2015||||||||||{}
04.93.10|Ablation d'électrode(s) de neurostimulateur périphérique, électrode en baguette, système à une électrode|Entfernen der Elektrode(n) eines peripheren Neurostimulators, Stabelektrode, Einzelelektrodensystem|Rimozione di elettrodo(i) di neurostimolatore periferico, elettrodo cilindrico, sistema a elettrodo singolo|CHOP 2015||||||||||{}
04.93.11|Ablation d'électrode(s) de neurostimulateur périphérique, électrode en baguette, système à plusieurs électrodes|Entfernen der Elektrode(n) eines peripheren Neurostimulators, Stabelektrode, Mehrelektrodensystem|Rimozione di elettrodo(i) di neurostimolatore periferico, elettrodo cilindrico, sistema a più elettrodi|CHOP 2015||||||||||{}
04.93.20|Ablation d'électrode(s) de neurostimulateur périphérique, électrode à plaque, système à une électrode|Entfernen der Elektrode(n) eines peripheren Neurostimulators, Plattenelektrode, Einzelelektrodensystem|Rimozione di elettrodo(i) di neurostimolatore periferico, elettrodo piatto, sistema a elettrodo singolo|CHOP 2015||||||||||{}
04.93.21|Ablation d'électrode(s) de neurostimulateur périphérique, électrode à plaque, système à plusieurs électrodes|Entfernen der Elektrode(n) eines peripheren Neurostimulators, Plattenelektrode, Mehrelektrodensystem|Rimozione di elettrodo(i) di neurostimolatore periferico, elettrodo piatto, sistema a più elettrodi|CHOP 2015||||||||||{}
04.93.40|Enlèvement d'électrode du nerf vague|Entfernen einer Vagusnervelektrode|Rimozione di elettrodo del nervo vago|CHOP 2015||||||||||{}
04.93.99|Ablation d'électrode(s) de neurostimulateur périphérique, autre|Entfernen der Elektrode(n) eines peripheren Neurostimulators, sonstige|Rimozione di elettrodo(i) di neurostimolatore periferico, altro|CHOP 2015||||||||||{}
04.94|Révision (sans remplacement) d'électrode(s) de neurostimulateur périphérique|Revision (ohne Ersetzen) der Elektrode(n) eines peripheren Neurostimulators|Revisione (senza sostituzione) di elettrodo(i) di neurostimolatore periferico|CHOP 2015||||||||||{}
04.94.0|Détail de la sous-catégorie 04.94|Detail der Subkategorie 04.94|Dettaglio della sottocategoria 04.94|CHOP 2015||||||||||{}
04.94.10|Révision (sans remplacement) d'électrode(s) de neurostimulateur périphérique, SAP|Revision (ohne Ersetzen) der Elektrode(n) eines peripheren Neurostimulators, n.n.bez.|Revisione (senza sostituzione) di elettrodo(i) di neurostimolatore periferico, NAS|CHOP 2015||||||||||{}
04.94.11|Révision (sans remplacement) d'électrode(s) de neurostimulateur périphérique, électrode en baguette, système à une électrode|Revision (ohne Ersetzen) der Elektrode(n) eines peripheren Neurostimulators, Stabelektrode, Einzelelektrodensystem|Revisione (senza sostituzione) di elettrodo(i) di neurostimolatore periferico, elettrodo cilindrico, sistema a elettrodo singolo|CHOP 2015||||||||||{}
04.94.12|Révision (sans remplacement) d'électrode(s) de neurostimulateur périphérique, électrode en baguette, système à plusieurs électrodes|Revision (ohne Ersetzen) der Elektrode(n) eines peripheren Neurostimulators, Stabelektrode, Mehrelektrodensystem|Revisione (senza sostituzione) di elettrodo(i) di neurostimolatore periferico, elettrodo cilindrico, sistema a più elettrodi|CHOP 2015||||||||||{}
04.94.13|Révision (sans remplacement) d'électrode(s) de neurostimulateur périphérique, électrode à plaque, système à une électrode|Revision (ohne Ersetzen) der Elektrode(n) eines peripheren Neurostimulators, Plattenelektrode, Einzelelektrodensystem|Revisione (senza sostituzione) di elettrodo(i) di neurostimolatore periferico, elettrodo piatto, sistema a elettrodo singolo|CHOP 2015||||||||||{}
04.94.14|Révision (sans remplacement) d'électrode(s) de neurostimulateur périphérique, électrode à plaque, système à plusieurs électrodes|Revision (ohne Ersetzen) der Elektrode(n) eines peripheren Neurostimulators, Plattenelektrode, Mehrelektrodensystem|Revisione (senza sostituzione) di elettrodo(i) di neurostimolatore periferico, elettrodo piatto, sistema a più elettrodi|CHOP 2015||||||||||{}
04.94.99|Révision (sans remplacement) d'électrode(s) de neurostimulateur périphérique, autre|Revision (ohne Ersetzen) der Elektrode(n) eines peripheren Neurostimulators, sonstige|Revisione (senza sostituzione) di elettrodo(i) di neurostimolatore periferico, altro|CHOP 2015||||||||||{}
04.99|Autre opération de nerf crânien et périphérique|Sonstige Operation an kranialen und peripheren Nerven|Altri interventi sui nervi cranici e periferici|CHOP 2015||||||||||{}
04.99.0|Détail de la sous-catégorie 04.99|Detail der Subkategorie 04.99|Dettaglio della sottocategoria 04.99|CHOP 2015||||||||||{}
04.99.00|Autre opération de nerf crânien et périphérique, SAP|Sonstige Operation an kranialen und peripheren Nerven, n.n.bez.|Altri interventi sui nervi cranici e periferici, NAS|CHOP 2015||||||||||{}
04.99.10|Implantation ou remplacement de neuroprothèse périphérique|Implantation oder Ersetzen einer peripheren Neuroprothese|Impianto o sostituzione di neuroprotesi periferica|CHOP 2015||||||||||{}
04.99.11|Révision (sans remplacement) de neuroprothèse périphérique|Revision (ohne Ersetzen) einer peripheren Neuroprothese|Revisione senza sostituzione di neuroprotesi periferica|CHOP 2015||||||||||{}
04.99.12|Ablation de neuroprothèse périphérique|Entfernung einer peripheren Neuroprothese|Rimozione di neuroprotesi periferica|CHOP 2015||||||||||{}
04.99.99|Autre opération de nerf crânien et périphérique, autre|Sonstige Operation an kranialen und peripheren Nerven, sonstige|Altri interventi sui nervi cranici e periferici, altro|CHOP 2015||||||||||{}
05|Opérations de nerfs ou de ganglions sympathiques|Operationen an sympathischen Nerven oder Ganglien|Interventi sui nervi o sui gangli simpatici|CHOP 2015||||{Parazervikale Denervation am Uterus (69.3)}|{Dénervation utérine paracervicale (69.3)}|{Denervazione uterina paracervicale (69.3)}||||{}
05.0|Section de nerf ou de ganglion sympathique|Durchtrennung von sympathischen Nerven oder Ganglien|Sezione di nervo o ganglio simpatico|CHOP 2015||||{Durchtrennung von Nerven zu den Nebennieren (07.42)}|{Section de nerf de glande surrénale (07.42)}|{La sezione dei nervi afferenti alle surrenali (07.42)}||||{}
05.1|Techniques diagnostiques concernant un nerf ou un ganglion sympathique|Diagnostische Massnahmen an sympathischen Nerven oder Ganglien|Procedure diagnostiche sui nervi o sui gangli simpatici|CHOP 2015||||||||||{}
05.11|Biopsie de nerf ou de ganglion sympathique|Biopsie an einem sympathischen Nerv oder Ganglion|Biopsia di nervi o gangli simpatici|CHOP 2015||||||||||{}
05.19|Autres techniques diagnostiques concernant un nerf ou un ganglion sympathique|Sonstige diagnostische Massnahmen an sympathischen Nerven oder Ganglien|Altre procedure diagnostiche sui nervi o sui gangli simpatici|CHOP 2015||||||||||{}
05.2|Sympathectomie|Sympathektomie|Simpatectomia|CHOP 2015||||||||||{}
05.21|Excision de ganglion sphénopalatin|Exzision des Ganglion sphenopalatinum|Gangliectomia sfenopalatina|CHOP 2015||||||||||{}
05.22|Sympathectomie cervicale|Zervikale Sympathektomie|Simpatectomia cervicale|CHOP 2015||||||||||{}
05.23|Sympathectomie lombaire|Lumbale Sympathektomie|Simpatectomia lombare|CHOP 2015||||||||||{}
05.24|Sympathectomie présacrée|Präsakrale Sympathektomie|Simpatectomia presacrale|CHOP 2015||||||||||{}
05.25|Sympathectomie périartérielle|Periarterielle Sympathektomie|Simpatectomia periarteriosa|CHOP 2015||||||||||{}
05.26|Sympathectomie thoracique|Thorakale Sympathektomie|Simpatectomia toracica|CHOP 2015||||||||||{}
05.29|Autre sympathectomie et excision de ganglion|Sonstige Sympathektomie und Exzision eines Ganglions|Altre simpatectomie e gangliectomie|CHOP 2015||||{Biopsie an einem sympathischen Nerv oder Ganglion (05.11),Optiko-ziliare Neurektomie bei Glaukom (12.79),Periarterielle Sympathektomie (05.25),Tympanosympathektomie (20.91)}|{Biopsie de nerf ou de ganglion sympathique (05.11),Neurectomie optico-ciliaire(12.79),Sympathectomie périartérielle (05.25),Tympanosympathectomie (20.91)}|{Biopsia di nervo o ganglio simpatico (05.11),Nevrectomia otticociliare (12.79),Simpatectomia periarteriosa (05.25),Timpano simpatectomia (20.91)}|{Exzision eines sympathischen Ganglions, n.n.bez.,Exzision oder Avulsion eines sympathischen Nervs, n.n.bez.}|{Excision ou avulsion de ganglion sympatique, SAP,Excision ou avulsion de nerf sympathique, SAP}|{Gangliectomia simpatica, NAS,Resezione o asportazione di nervo simpatico, NAS}|{}
05.3|Injection dans un nerf ou un ganglion sympathique|Injektion in sympathischen Nerv oder Ganglion|Iniezione in un nervo o ganglio simpatico|CHOP 2015||||{Injektion in das sympathische Ganglion ciliare (12.79)}|{Injection du ganglion sympathique ciliaire (12.79)}|{Iniezione nel ganglio simpaticociliare (12.79)}||||{}
05.31|Injection d'analgésique dans un nerf sympathique|Injektion eines Anästhetikums in einen sympathischen Nerv zur Analgesie|Iniezione di anestetico in un nervo simpatico per analgesia|CHOP 2015||||||||||{}
05.31.0|Détail de la sous-catégorie 05.31|Detail der Subkategorie 05.31|Dettaglio della sottocategoria 05.31|CHOP 2015|{Bildgebendes Verfahren, z.B. Computertomographie, Fluoroskopie oder Sonographie}|{Méthode d'imagerie, p. ex. tomographie axiale computérisée (CT-scan), fluoroscopie ou échographie.}|{Procedura per immagini, es. tomografia computerizzata, fluoroscopia o ecografia}|||||||{}
05.31.00|Injection d'anesthésique dans un nerf sympathique pour analgésie, SAP|Injektion eines Anästhetikums in einen sympathischen Nerv zur Analgesie, n.n.bez.|Iniezione di anestetico in nervo simpatico per analgesia, NAS|CHOP 2015||||||||||{}
05.31.09|Injection d'anesthésique dans un nerf sympathique pour analgésie, autre|Injektion eines Anästhetikums in einen sympathischen Nerv zur Analgesie, sonstige|Iniezione di anestetico in nervo simpatico per analgesia, altro|CHOP 2015||||||||||{}
05.31.1|Injection de médicament dans le système nerveux sympathique pour traitement de la douleur|Injektion eines Medikamentes an das sympathische Nervensystem zur Schmerztherapie|Iniezione di medicamento nel sistema nervoso simpatico per terapia del dolore|CHOP 2015||||||||||{}
05.31.10|Injection de médicament dans le système nerveux sympathique pour traitement de la douleur, SAP|Injektion eines Medikamentes an das sympathische Nervensystem zur Schmerztherapie, n.n.bez.|Iniezione di medicamento nel sistema nervoso simpatico per terapia del dolore, NAS|CHOP 2015||||||||||{}
05.31.11|Injection dans le système nerveux sympathique pour traitement de la douleur, au contact de la chaîne sympathique cervicale|Injektion an das sympathische Nervensystem zur Schmerztherapie, am zervikalen Grenzstrang|Iniezione nel sistema nervoso simpatico per terapia del dolore, nel tronco simpatico cervicale|CHOP 2015||||||||||{}
05.31.12|Injection dans le système nerveux sympathique pour traitement de la douleur, au contact de la chaîne sympathique cervicale, avec imagerie|Injektion an das sympathische Nervensystem zur Schmerztherapie, am zervikalen Grenzstrang, mit bildgebenden Verfahren|Iniezione nel sistema nervoso simpatico per terapia del dolore, nel tronco simpatico cervicale, con imaging|CHOP 2015||||||||||{}
05.31.13|Injection dans le système nerveux sympathique pour traitement de la douleur, au contact de la chaîne sympathique dorsale|Injektion an das sympathische Nervensystem zur Schmerztherapie, am thorakalen Grenzstrang|Iniezione nel sistema nervoso simpatico per terapia del dolore, nel tronco simpatico toracico|CHOP 2015||||||||||{}
05.31.14|Injection dans le système nerveux sympathique pour traitement de la douleur, au contact de la chaîne sympathique dorsale, avec imagerie|Injektion an das sympathische Nervensystem zur Schmerztherapie, am thorakalen Grenzstrang, mit bildgebenden Verfahren|Iniezione nel sistema nervoso simpatico per terapia del dolore, nel tronco simpatico toracico, con imaging|CHOP 2015||||||||||{}
05.31.15|Injection dans le système nerveux sympathique pour traitement de la douleur: au contact de la chaîne sympathique lombaire|Injektion an das sympathische Nervensystem zur Schmerztherapie, am lumbalen Grenzstrang|Iniezione nel sistema nervoso simpatico per terapia del dolore, nel tronco simpatico lombare|CHOP 2015||||||||||{}
05.31.16|Injection dans le système nerveux sympathique pour traitement de la douleur, au contact de la chaîne sympathique lombaire, avec imagerie|Injektion an das sympathische Nervensystem zur Schmerztherapie, am lumbalen Grenzstrang, mit bildgebenden Verfahren|Iniezione nel sistema nervoso simpatico per terapia del dolore, nel tronco simpatico lombare, con imaging|CHOP 2015||||||||||{}
05.31.17|Injection dans le système nerveux sympathique pour traitement de la douleur, au contact des ganglions prévertébraux (plexus coeliaque, plexus hypogastrique)|Injektion an das sympathische Nervensystem zur Schmerztherapie, an den prävertebralen Ganglien (Plexus coeliacus, Plexus hypogastricus)|Iniezione nel sistema nervoso simpatico per terapia del dolore, nei gangli prevertebrali (plesso celiaco, plesso ipogastrico)|CHOP 2015||||||||||{}
05.31.18|Injection dans le système nerveux sympathique pour traitement de la douleur, au contact des ganglions prévertébraux (plexus coeliaque, plexus hypogastrique), avec imagerie|Injektion an das sympathische Nervensystem zur Schmerztherapie, an den prävertebralen Ganglien (Plexus coeliacus, Plexus hypogastricus), mit bildgebenden Verfahren|Iniezione nel sistema nervoso simpatico per terapia del dolore, nei gangli prevertebrali (plesso celiaco, plesso ipogastrico), con imaging|CHOP 2015||||||||||{}
05.31.19|Injection dans le système nerveux sympathique pour traitement de la douleur, autre|Injektion an das sympathische Nervensystem zur Schmerztherapie, sonstige|Iniezione di medicamento nel sistema nervoso simpatico per terapia del dolore, altro|CHOP 2015||||||||||{}
05.31.1A|Injection dans le système nerveux sympathique pour traitement de la douleur, autre site|Injektion an das sympathische Nervensystem zur Schmerztherapie, sonstige Lokalisation|Iniezione di medicamento nel sistema nervoso simpatico per terapia del dolore, altra sede|CHOP 2015||||||||||{}
05.31.1B|Injection dans le système nerveux sympathique pour traitement de la douleur, autre site, avec imagerie|Injektion an das sympathische Nervensystem zur Schmerztherapie, sonstige Lokalisation, mit bildgebenden Verfahren|Iniezione di medicamento nel sistema nervoso simpatico per terapia del dolore, altra sede, con imaging|CHOP 2015||||||||||{}
05.32|Injection d'agent neurolytique dans un nerf sympathique|Injektion einer neurolytischen Substanz in einen sympathischen Nerv|Iniezione di agenti neurolitici in un nervo simpatico|CHOP 2015||||||||||{}
05.39|Autre injection dans un nerf ou un ganglion sympathique|Sonstige Injektion in sympathischen Nerv oder Ganglion|Altra iniezione in un nervo o ganglio simpatico|CHOP 2015||||||||||{}
05.8|Autres opérations de nerf ou de ganglion sympathique|Sonstige Operationen an sympathischen Nerven oder Ganglien|Altri interventi su nervi o su gangli simpatici|CHOP 2015||||||||||{}
05.81|Réparation de nerf ou de ganglion sympathique|Plastische Rekonstruktion an sympathischem Nerv oder Ganglion|Riparazione di nervo o ganglio simpatico|CHOP 2015||||||||||{}
05.89|Autres opérations de nerf ou de ganglion sympathique|Sonstige Operation an sympathischem Nerv oder Ganglion|Altri interventi su nervi o gangli simpatici|CHOP 2015||||||||||{}
05.9|Autres opérations du système nerveux|Sonstige Operationen am Nervensystem|Altri interventi sul sistema nervoso|CHOP 2015||||||||||{}
06|Opérations de glandes thyroïde et parathyroïde|Operationen an Schilddrüse und Nebenschilddrüse (Parathyreoidea)|Interventi sulla tiroide e sulle paratiroidi|CHOP 2015|{Inzidente Resektion des Os hyoideum bei Operationen an Schilddrüse und Nebenschilddrüse}|{Résection l'os hyoïde en passant}|{Resezione incidentale dell'osso ioide}|||||||{}
06.0|Incision du champ thyroïdien|Inzision im Gebiet der Schilddrüse|Incisione della regione tiroidea|CHOP 2015||||{Durchtrennung des Isthmus glandulae thyreoideae (06.91)}|{Division de l'isthme de la thyroïde (06.91)}|{Sezione dell'istmo (06.91)}||||{}
06.01|Aspiration du champ thyroïdien|Aspiration im Gebiet der Schilddrüse|Aspirazione nella regione tiroidea|CHOP 2015||||{Aspirationsbiopsie an der Schilddrüse (06.11),Drainage durch Inzision (06.09),Postoperative Aspiration im Gebiet der Schilddrüse (06.02)}|{Biopsie aspiration de glande thyroïde (06.11),Incision-drainage (06.09),Drainage aspiration post-opératoire (06.02)}|{Biopsia di materiale agoaspirato della tiroide (06.11),Drenaggio mediante incisione (06.09),Aspirazione post-operatoria della regione tiroidea (06.02)}|{Perkutane oder Nadel-Drainage im Gebiet der Schilddrüse}|{Drainage percutané ou par aiguille du champ thyroïdien}|{Drenaggio percutaneo o con ago della regione tiroidea}|{}
06.02|Réouverture du champ thyroïdien|Wiedereröffnung einer Wunde im Gebiet der Schilddrüse|Riapertura di ferita della regione tiroidea|CHOP 2015|||||||{Wiedereröffnung einer Wunde im Gebiet der Schilddrüse zum Ausräumen eines Hämatoms,Wiedereröffnung einer Wunde im Gebiet der Schilddrüse zur (postoperativen) Blutstillung,Wiedereröffnung einer Wunde im Gebiet der Schilddrüse zur Exploration,Wiedereröffnung einer Wunde im Gebiet der Schilddrüse zur Untersuchung}|{Réouverture de champ thyroïdien pour évacuation d'hématome,Réouverture de champ thyroïdien pour contrôle d'hémorragie,Réouverture de champ thyroïdien pour exploration,Réouverture de champ thyroïdien pour examen}|{Riapertura di ferita in regione tiroidea per rimozione di ematoma,Riapertura di ferita in regione tiroidea per controllo emorragia (postoperatoria),Riapertura di ferita in regione tiroidea per esplorazione,Riapertura di ferita in regione tiroidea per esame}|{}
06.09|Autre incision du champ thyroïdien|Sonstige Inzision im Gebiet der Schilddrüse|Altra incisione della regione tiroidea|CHOP 2015||||{Ausräumen eines Hämatoms durch Aspiration (06.01),Postoperative Exploration (06.02)}|{Aspiration d'un hématome (06.01),Révision post-opératoire (06.02)}|{Rimozione di ematoma per aspirazione (06.01),Esplorazione post-operatoria (06.02)}|{Drainage des Tractus thyreoglossus durch Inzision,Drainage eines Hämatoms durch Inzision,Entfernen eines Fremdkörpers durch Inzision,Exploration (im Gebiet) der Schilddrüse durch Inzision,Exploration des Halses durch Inzision,Thyreoidotomie durch Inzision, n.n.bez.}|{Drainage du tractus thyréoglosse par incision,Drainage d'hématome du champ thyroïdien par incision,Extraction de corps étranger du champ thyroïdien par incision,Exploration du champ thyroïdien par incision,Exploration du cou par incision,Thyroïdotomie, SAP}|{Drenaggio del dotto tireoglosso,Drenaggio di ematoma,Rimozione di corpo estraneo mediante incisione,Esplorazione della regione tiroidea,Esplorazione del collo,Tiroidotomia, NAS}|{}
