KT;Inst;Adr;Ort;Typ;RWStatus;Akt;SL;WB;AnzStand;SA;PtageStatT;AustStatT;NeugStatT;Ops;Gebs;CMIb;CMIn;pPatWAU;pPatWAK;pPatLKP;pPatHOK;PersA;PersP;PersMT;PersT;PersAFall;PersPFall;PersMTFall;PersTFall;AnzBelA;AnzBelP;AwBesold;AwInvest;AwSonst;AwT;EtMedL;EtSonst;EtSubv;FiErg;PtageStatA;AustStatA;BettenStatA;DADStatA;pBettenBelStatA;KostAmbA;KostOKPAmbA;KostStatA;KostKVGStatA;AnlKVGStatA;KostZvOKPStatA;AnlZvOKPStatA;KostLangA;AuftragLFA;ErlAmbA;ErlOKPAmbA;ErlStatA;ErlKVGStatA;ErlKVGStatVA;ErlZvOKPStatA;ErlZvOKPStatVA;ErlLangA;PtageStatP;AustStatP;BettenStatP;DADStatP;pBettenBelStatP;KostAmbP;KostOKPAmbP;KostStatP;KostKVGStatP;AnlKVGStatP;KostZvOKPStatP;AnlZvOKPStatP;KostLangP;AuftragLFP;ErlAmbP;ErlOKPAmbP;ErlStatP;ErlKVGStatP;ErlKVGStatVP;ErlZvOKPStatP;ErlZvOKPStatVP;ErlLangP;PtageStatR;AustStatR;BettenStatR;DADStatR;pBettenBelStatR;KostAmbR;KostOKPAmbR;KostStatR;KostKVGStatR;AnlKVGStatR;KostZvOKPStatR;AnlZvOKPStatR;KostLangR;AuftragLFR;ErlAmbR;ErlOKPAmbR;ErlStatR;ErlKVGStatR;ErlKVGStatVR;ErlZvOKPStatR;ErlZvOKPStatVR;ErlLangR;PtageStatB;AustStatB;BettenStatB;DADStatB;pBettenBelStatB;KostAmbB;KostOKPAmbB;KostStatB;KostKVGStatB;AnlKVGStatB;KostZvOKPStatB;AnlZvOKPStatB;KostLangB;AuftragLFB;ErlAmbB;ErlOKPAmbB;ErlStatB;ErlKVGStatB;ErlKVGStatVB;ErlZvOKPStatB;ErlZvOKPStatVB;ErlLangB
BE;Regionalspital Emmental AG;Oberburgstrasse 54;3400 Burgdorf;K121;oeff;A;NF, IPS;MSt, Arzt, BGs;2;MRI, CT;53151;8199;502;6;3;0.9220979198;0.8744314906;0.2951;3.221;10.1793;94.8366;102.07;299.77;120.85;720.39;1.24;3.66;1.47;8.79;35;2;74685782;4784807;40648939;124222166;113462691;8529206;833936;-397860;53151;8199;156.4;6.5;92.9;36942558;32774991;77613220;63727137;5595973;10253163;775994;0;0;32102291;28377211;80078625;64336187;45;12609385;47.3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Klinik Sonnenhof AG;Buchserstrasse 30;3006 Bern;K121;priv;A;NF, IPS;MSt, Arzt, BGs;2;MRI, CT;45267;10436;798;8;3;1.027233475;0.9700324894;0.2514;16.1325;27.7029;93.0226;34.94;275.79;68.18;603.79;0.33;2.64;0.65;5.79;148;0;63897315;11969717;76174721;155709794;147587049;7469107;36340;3888975;45267;10436;143.1;4.3;86.4;31704690;26873668;118238346;65775237;6339717;35871047;2838548;0;1000000;27948053;24332644;126883958;65229582;55.3;29205925;55.3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;SRO Spital Region Oberaargau AG  ;St. Urbanstrasse 67;4900 Langenthal;K121;oeff;A;NF, IPS;MSt, Arzt, BGs;2;MRI, CT;44105;8239;584;4;3;0.9456882296;0.908632624;0.2048;11.382;12.6837;94.1339;88.32;278.55;75.3;627.84;1.07;3.38;0.91;7.62;19;0;78035565;3021573;41372517;122429655;112369574;9081184;1269040;290143;44105;8239;166;5.4;72.6;36820192;36568211;74793515;59126345;3699825;7434747;465229;0;2;35008451;30697135;80670745;60552811;46;10991514;47.9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Spitäler FMI AG;Weissenaustrasse 27;3800 Unterseen;K121;oeff;A;NF, IPS;MSt, Arzt, BGs;2;MRI, CT;42499;9073;560;6;4;0.8906760096;0.807801661;4.7414;5.4837;14.0291;88.5571;87.04;277.8;150.38;685.64;0.96;3.06;1.66;7.56;35;9;78314639;4104755;38823484;128187489;115723957;13866719;416158;1819345;42499;9073;148;4.7;78.7;30944531;22622069;84445160;62459361;5869267;0;0;22750;0;26544137;18745633;84159433;58289181;46.8;0;;8608;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Hôpital du Jura bernois SA;Les Fontenayes 17;2610 St­Imier;K122;oeff;A;NF;MSt, BGs;2;CT;25607;4663;252;5;2;0.8806627358;0.8303707762;0.7717;21.5813;11.0397;94.298;39.73;131.02;58.39;367.17;0.85;2.81;1.25;7.87;7;0;57610431;4643110;19156064;81439222;72798213;8543909;97011;-97011;25607;4663;118;5.5;59.5;18828748;0;37122659;30384845;3029765;5251223;149353;0;943000;15000834;13359794;40239296;32396713;44.9;5846941;61.9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Klinik Linde AG;Blumenrain 105;2503 Biel;K122;priv;A;NF;BGs;1;MRI, CT, CC;20963;4607;2437;6;2;0.8842250679;0.8372257858;0.1157;8.3414;42.893;95.6991;15.73;146.79;48;335.4;0.34;3.19;1.04;7.28;90;0;34616854;5524364;31277265;71418483;68382868;40452;0;-5735559;20963;4607;82;4.6;69.9;27313477;25218007;46845402;24094778;2353738;22573000;2391105;0;0;24834664;23073428;43588655;22838830;50.7;20575506;51;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Psychiatriezentrum Münsingen;Hunzigenstrasse 1;3110 Münsingen;K211;oeff;P;NF;BGs;1;;101525;1978;0;0;0;;;0.0887;1.9086;1.773;92.7305;38.91;183.53;34.09;437.04;1.97;9.28;1.72;22.1;0;0;50856737;10815484;8915900;70588121;29672947;3303952;37611222;-37600813;;;;;;;;;;;;;;;;;;;;;;;101525;1978;298;51.3;93.1;1475335;1421891;41528807;40969232;4977487;481676;52295;18521058;0;907831;710257;19183252;18722436;100;331950;100;9505841;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Universitäre Psychiatrische Dienste Bern (UPD);Bolligenstrasse 111;3072 Ostermundigen;K211;oeff;P;NF;MSt, Arzt, BGs;18;;97114;3054;0;0;0;;;0.8033;4.5042;5.0129;98.7468;155.43;320.75;112.93;935.59;5.09;10.5;3.7;30.63;0;0;101444171;4317514;20313449;126075134;52606325;8033500;65435308;-57683913;;;;;;;;;;;;;;;;;;;;;;;97114;3054;292;31.8;90.9;41736970;40871319;72064941;64702172;5217322;4849068;450217;4277352;12888531;16540984;15963573;35356036;29286985;100;3585121;100;2118919;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Privatklinik Meiringen Zentrum für Psychiatrie und Psychotherapie;Willigen;3860 Meiringen;K211;oeff;P;NF;MSt, Arzt, BGs;1;;59811;1193;0;0;0;;;1.3818;35.355;17.8909;100;28.03;128.36;29.62;261.11;2.35;10.76;2.48;21.89;1;0;27800386;5431397;7434137;41496657;42025618;1625482;830000;2582438;;;;;;;;;;;;;;;;;;;;;;;59811;1193;172.6;50.1;94.7;1365382;1302760;33748671;25369500;3010981;8307011;984164;3588263;100000;1624114;1617630;37073455;27167357;50.3;9824733;50.3;3413289;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Services Psychiatriques Jura Bernois ­ Bienne­Seeland (SPJBB);;2713 Bellelay;K211;oeff;P;NF;Arzt, BGs;8;;41373;718;0;0;0;;;0.3012;15.005;0;99.7992;38.08;157.68;69.55;368.01;5.3;21.96;9.69;51.25;1;0;34846742;1430874;4904945;41182561;17757586;1067639;22357336;-22056777;;;;;;;;;;;;;;;;;;;;;;;41373;718;133;57.6;85;10708851;10672291;22936097;22738618;9565;0;0;5977181;172000;4656535;4519348;10467930;11066814;84.8;0;;3148961;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Privatklinik Wyss AG;Fellenbergstrasse 32;3053 Münchenbuchsee;K212;priv;P;;Arzt, BGs;1;;29386;579;0;0;0;;;0;17.8817;36.4512;97.3865;18.19;64.62;27.12;173.92;3.14;11.16;4.68;30.04;2;0;17621504;3055817;3788650;24567971;20658281;565681;152720;-1584662;;;;;;;;;;;;;;;;;;;;;;;29386;579;86;50.8;93.4;3549079;3542443;20500812;11342131;1505910;9118555;1211795;0;152720;3233720;3209097;20043118;11538986;45.2;8348862;54.8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Klinik SGM Langenthal Psychosomatik, Psychiatrie, Psychotherapie;Weissensteinstrasse 30;4900 Langenthal;K212;priv;P, R;;MSt, Arzt, BGs;1;;13044;280;0;0;0;;;0.3155;48.1013;11.041;100;10.66;25.84;14.81;79.81;3.81;9.23;5.29;28.5;0;0;7725671;301234;1492632;11283822;10089674;366606;149420;0;;;;;;;;;;;;;;;;;;;;;;;8623;172;24;50.1;98.4;1913468;1853329;5207443;4769403;512468;438040;47337;0;2;2008022;1966152;5184995;4784537;45;380237;45.7;0;4421;108;12;40.9;100.9;295101;295101;2723382;2258743;227922;464639;48359;0;0;249562;249562;2637245;2217933;45;418497;45.5;0;;;;;;;;;;;;;;;;;;;;;;
BE;Regionalspital Emmental AG Psychiatrische Dienste;Oberburgstrasse 54;3400 Burgdorf;K212;oeff;P;;MSt, Arzt, BGs;2;;6331;287;0;0;0;;;0;2.623;3.2787;99.6721;19.06;38.18;10.38;80.95;6.64;13.3;3.62;28.21;0;4;9289126;1310688;1077362;13473829;10008295;1297459;3613320;1487032;;;;;;;;;;;;;;;;;;;;;;;6331;287;18;22.1;96.1;8111214;7593610;3886079;3768130;63369;94503;1586;0;0;7306685;5462177;4212571;4023136;45;172426;45;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Zentrum für Psychiatrie und Psychotherapie Langenthal SRO;St. Urbanstrasse 67;4900 Langenthal;K212;oeff;P;;Arzt, BGs;3;;5536;118;0;0;0;;;0;11.2782;5.2632;100;17.23;24.85;18.89;76.17;14.6;21.06;16.01;64.55;0;0;10192473;440859;1240554;11873886;8420831;56146;3407061;10152;;;;;;;;;;;;;;;;;;;;;;;5536;118;16;46.9;94.8;10016222;9980794;5020154;4493727;485277;283389;30603;0;1;4640456;4601934;3729581;6267701;50.8;395261;50.8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Soteria Bern;Bühlstrasse 19;3012 Bern;K212;oeff;P;;BGs;1;;3788;69;0;0;0;;;0;31.5789;0;98.6842;0.05;7.39;8.71;18.13;0.07;10.71;12.62;26.28;3;0;1604680;161083;567581;2333344;2663166;43843;0;374239;;;;;;;;;;;;;;;;;;;;;;;3788;69;8;54.9;129.4;349763;324362;1983581;1871875;129284;0;0;0;0;433895;407270;2273114;2255896;42.3;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Berner Reha Zentrum AG Heiligenschwendi ;Schwendi 303;3625 Heiligenschwendi;K221;oeff;R;;BGs;1;;41899;2270;0;0;0;;;0.4234;9.7831;24.5978;96.6977;17.61;97.03;30.38;225.69;0.78;4.27;1.34;9.94;0;0;22720861;2494601;5300870;31149045;29311603;1898996;0;735120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41899;2270;123;18.5;93.3;120517;115176;31299672;22061645;3338567;8776195;1123192;0;0;82856;79496;29706467;19603500;45;8873977;54.5;0;;;;;;;;;;;;;;;;;;;;;;
BE;Berner Klinik Montana;Rathausgasse 1;3011 Bern;K221;oeff;R;;BGs;1;;30552;1340;0;0;0;;;0.3731;36.3296;21.8657;97.7612;13.44;56.99;31.63;161.27;1;4.25;2.36;12.04;0;0;14639968;2512106;5513686;22682351;22269075;806152;0;392876;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30552;1340;98;22.8;85.4;77182;77182;22772841;16218121;2071667;6153345;987839;0;0;106837;106837;22154505;14886941;100;6347827;100;0;;;;;;;;;;;;;;;;;;;;;;
BE;Gesundheitszentrum Schönberg Gunten AG;Schönbergstrasse 36a;3654 Gunten;K221;priv;R;;BGs;1;;28556;1693;0;0;0;;;0.2865;18.5057;35.4728;94.4986;5.01;53.04;16.89;157.74;0.3;3.13;1;9.32;0;0;12221828;1779240;4827081;20035108;18191009;1481262;0;420870;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28556;1693;85;16.9;92;784139;784139;18231735;10068220;0;7793663;0;0;0;150726;148029;19506446;8838902;55.7;8863239;61;0;;;;;;;;;;;;;;;;;;;;;;
BE;Reha­Klinik Haslibergerhof;Kurhaus Haslibergerhof;6083 Hasliberg Hohfluh;K221;priv;R;NF;BGs;1;;13498;805;0;0;0;;;0.241;76.3285;26.1446;100;5.64;27.04;16.61;94.64;0.7;3.36;2.06;11.76;0;0;7839208;1128575;2649283;11645195;9066983;1931351;616680;-609480;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13498;805;43;16.8;85.8;656583;0;9043233;3705615;300183;2332391;193444;171168;0;377868;0;8254395;3484092;52.5;2621175;62.3;117137;;;;;;;;;;;;;;;;;;;;;;
BE;Kurklinik Eden AG orthopädische Rehabilitation & Kuren aller Art;Panoramastrasse 20;3854 Oberried Brienz;K221;priv;R;;Arzt, BGs;1;;7424;477;0;0;0;;;0;12.1849;27.7311;95.7983;1.5;14.73;5.21;44.61;0.31;3.09;1.09;9.35;0;0;4018622;925423;1010425;5966091;5585899;269350;0;54059;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7424;477;24;15.6;84.7;0;0;3811469;2447419;283297;1087981;172331;1937796;23500;82501;82501;3404432;2034310;46.7;1047977;46.7;2454580;;;;;;;;;;;;;;;;;;;;;;
BE;Reha­Pflegeklinik Eden AG;Brandstrasse 217;3852 Ringgenberg BE;K221;priv;R;;BGs;1;;1870;86;0;0;0;;;0;7.5269;12.9032;97.8495;0;3.5;0;5.43;0;4.07;0;6.31;0;0;592894;60175;139693;792762;793195;12217;0;12650;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1870;86;5.8;21.7;88.3;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;
BE;Klinik Siloah;Worbstrasse 324;3073 Gümligen;K231;priv;A;NF;BGs;1;;5361;1501;0;4;0;0.970384;0.9387621333;0.1332;7.8052;20.0533;79.0806;6.74;44.88;12.5;83.08;0.45;2.99;0.83;5.53;0;0;10255000;1311401;15717598;28859898;26526389;787087;44737;-855956;5361;1501;23.4;3.6;62.5;12787122;10916255;14239347;8607868;505502;2739741;169327;0;0;12221528;10843902;13924932;8266554;45;2682963;49.9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Klinik Hohmad AG;Hohmadstrasse 1;3600 Thun;K231;priv;A;;BGs;1;;3715;1185;0;3;0;0.9074247039;0.8504513536;0.2538;2.0356;21.066;89.2555;4.54;21.45;8.09;52.38;0.38;1.81;0.68;4.42;24;0;5989384;52780;10493483;17385147;17503827;74322;0;213300;3715;1185;14.5;3.1;70;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Privatklinik Piano;Gottstattstrasse 24;2504 Biel;K231;priv;A;;MSt, Arzt, BGs;1;;58;58;0;1;0;0.6396034483;0.5323275862;0;27.5862;17.2414;100;1.69;0.84;0.5;8.02;2.91;1.45;0.86;13.83;6;0;745816;154579;442011;1342406;1282856;0;0;-59550;58;58;2;1;7.9;96411;96411;749247;594830;96519;154414;24130;0;0;49800;49800;498256;373605;100;124651;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Geburtshaus Luna Biel;Brüggstrasse 111;2503 Biel;K232;priv;B;;BGs;1;;342;137;82;0;2;0.4076484018;0.3576858447;0;23.2877;0;100;0;13.46;0.12;14.75;0;9.82;0.09;10.77;2;1;696829;17078;134636;869380;815269;55280;0;9984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;342;137;1.9;2.5;48.9;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0
BE;Bethesda Klinik für Epilepsie und Neurorehabilitation;;3233 Tschugg;K235;oeff;R;;Arzt, BGs;1;;47572;810;0;0;0;;;0.2153;21.575;22.1744;95.8019;13.06;109.66;50.37;258.59;1.61;13.54;6.22;31.92;0;0;24871869;2792202;5940208;33604279;31994269;1296326;500383;335663;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47572;810;140;58.7;92.8;426967;390438;22108529;15105883;924035;6133771;374546;9877226;0;439454;396356;23081748;14650032;42.8;7217810;62.2;9455445;;;;;;;;;;;;;;;;;;;;;;
BE;südhang Klinik für Suchttherapien;Südhang 1;3038 Kirchlindach;K235;oeff;P;;;4;;21090;344;0;0;0;;;0;29.798;0;100;10.42;12.49;26.84;83.65;3.03;3.63;7.8;24.32;0;0;9389873;1532566;2530038;13842113;5912830;1511563;6511524;114801;;;;;;;;;;;;;;;;;;;;;;;21090;344;63;61.3;91.7;2076186;2076186;10159211;10159211;1116374;0;0;0;0;2280735;1506523;10348914;4405158;100;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Klinik Wysshölzli;Waldrandweg 19;3360 Herzogenbuchsee;K235;oeff;P;;BGs;1;;12710;117;0;0;0;;;0;64.6259;0;100;1.8;8.02;8.81;36.36;1.54;6.85;7.53;31.08;1;0;3821411;450822;980000;5252233;5735879;67344;0;550990;;;;;;;;;;;;;;;;;;;;;;;12710;117;37;108.6;94.1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Klinik Selhofen;Emmentalstrasse 8;3402 Burgdorf;K235;oeff;P;;BGs;1;;7056;227;0;0;0;;;0;5.7143;0;100;0;11.68;5.53;26.91;0;5.15;2.44;11.85;6;2;3521433;359187;999796;4931514;4910751;47821;4630;44287;;;;;;;;;;;;;;;;;;;;;;;7056;227;20;31.1;96.7;279635;279635;4536846;4536846;265322;0;0;0;0;173682;173682;4737287;4737069;100;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Stiftung Diaconis Palliative Care Diakonissenhaus Bern;Schänzlistrasse 15;3013 Bern;K235;priv;A;;BGs;1;;3022;179;0;0;0;;;0;5.5866;0;100;0;14.65;0;16.72;0;8.18;0;9.34;8;0;1959542;148825;750830;2859197;2954751;79560;199;175312;3022;179;9;16.9;91.7;0;0;2867973;2867973;178774;0;0;0;0;0;0;2996084;2951173;45.5;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BL;Kantonsspital Baselland;Mühlemattstrasse 26;4410 Liestal;K112;oeff;A, R;NF, IPS;MSt, Arzt, BGs;3;MRI, CT, CC, Lito;217008;28721;1080;20;11;0.9812676017;0.9859214102;2.1853;19.2062;22.2989;91.2851;412.19;1192.64;399.01;2810.59;1.44;4.15;1.39;9.79;99;0;307289380;38669511;114301765;460293407;431025234;15840200;14922970;1514880;174630;27305;693;6.4;68.9;112085564;0;296522100;203511777;18871195;79879349;6423057;0;0;87763094;0;312100862;198735496;100;98805464;100;0;;;;;;;;;;;;;;;;;;;;;;;42378;1416;157;29.9;73.7;0;0;21131070;13344056;1162176;7576033;627472;9123507;0;0;0;20934355;12695854;100;8015229;100;6057190;;;;;;;;;;;;;;;;;;;;;;
BL;Ita Wegman Klinik;Pfeffingerweg 1;4144 Arlesheim;K123;priv;A, P;;MSt, Arzt, BGs;1;;18851;1072;0;0;0;0.8037078652;0.8661166042;5.1282;60.8108;30.1282;99.5421;34.31;75.33;41.24;224.65;3.2;7.03;3.85;20.96;2;0;16986384;1238145;7704519;25970379;24747265;1386270;843134;1298258;8375;801;30;10.5;76.3;6446040;6368810;8410186;4864188;436795;3542290;345092;0;124579;5372919;5288703;7652869;4232407;100;3320726;100;0;10476;271;33;38.7;86.7;218560;215504;6803761;5290298;550336;1513465;170667;0;58936;196086;193421;6964987;5147978;100;1747504;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BL;Psychiatrie Baselland;Bienentalstrasse 7;4410 Liestal;K211;oeff;P;NF;MSt, Arzt, BGs;1;;75616;1565;0;0;0;;;0.5354;15.7297;6.9601;92.326;28.59;197.9;35.44;429.88;1.83;12.65;2.26;27.47;0;0;47843407;3738823;8421372;60003602;29076260;1303891;29809513;186064;;;;;;;;;;;;;;;;;;;;;;;75616;1565;214;48.3;96.5;324189;323617;56765519;51897158;5331078;4768304;489819;0;707104;341792;341189;59847873;26270125;100;2413695;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BL;Klinik ESTA  ;Gstadstrasse 42;4153 Reinach BL;K212;oeff;P;;Arzt, BGs;2;;4510;138;0;0;0;;;0.6579;59.6026;0;100;0.72;10.47;4.17;21.35;0.52;7.59;3.02;15.47;2;3;1622633;42700;840261;2505890;2561430;70363;0;125903;;;;;;;;;;;;;;;;;;;;;;;4510;138;15;32.7;82.1;0;0;1879669;1879669;110964;0;0;0;9063;0;0;2631793;2561430;49.9;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BL;Hirslanden Klinik Birshof;Reinacherstrasse 28;4142 Münchenstein;K231;priv;A;;Arzt, BGs;1;;10182;2316;0;4;0;1.0210720174;0.9921107592;7.6857;33.957;52.418;71.5889;7.81;31.9;53.75;130.61;0.34;1.38;2.32;5.64;66;0;13184702;5827972;9661542;28674216;26317716;2076843;0;-279658;10182;2316;43;4.4;64.7;7073148;0;21762070;7189187;1164776;12395841;1962953;0;587934;4981551;4980776;18766486;5726367;45;11375677;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BL;Praxisklinik Rennbahn AG;St. Jakobs­Strasse 106;4132 Muttenz;K231;priv;A;;MSt, Arzt, BGs;1;;2580;714;0;1;0;0.7903333333;0.7610176471;14.986;68.0395;46.6387;48.4594;13.86;14.62;31.48;73.17;1.94;2.05;4.41;10.25;0;3;7465893;926802;4518348;13082728;13070726;484515;35167;646835;2580;714;8.5;3.6;82.9;8034337;4501458;5454982;988083;65075;2772938;189281;0;35167;6805192;3638485;6615732;912130;100;4342783;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BL;Geburtshaus Ambra;Unterdorfstrasse 25;4443 Wittinsburg;K232;priv;B;;;1;;296;93;28;0;2;0.4430413223;0.4194876033;0;39.6694;7.438;98.3471;0;1.93;0;2.78;0;2.08;0;2.99;0;3;279553;44960;103435;455428;346638;5833;0;-98210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;296;93;3;3.2;27;108047;108047;347381;347381;41233;0;0;0;0;17110;16241;337471;306548;44.8;25959;46.9;0
BL;Ita Wegman Geburtshaus;Pfeffingerweg 1;4144 Arlesheim;K232;priv;B;;BGs;1;;37;15;8;0;2;0.4502173913;0.3694086957;0;52.1739;8.6957;100;;;;;;;;;6;3;0;48920;45364;99200;41200;8242;55245;5878;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37;15;1;2.5;10.1;37771;37771;61429;61429;24143;0;0;0;0;37350;11877;69568;29323;100;0;;0
BL;Geburtshaus Tagmond;Hauptstrasse 26;4133 Pratteln;K232;priv;B;;BGs;1;;9;9;3;0;0;0.4651666667;0.297;0;25;0;100;0;0;0;0.08;0;0;0;0.89;4;3;3380;32593;33885;70058;74011;10;3350;7313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;9;1;1;2.5;55309;55310;14749;14749;12892;0;0;0;0;47181;7700;30190;30191;45;0;;0
BL;Lukas Klinik;Brachmattstrasse 19;4144 Arlesheim;K235;priv;A;;Arzt, BGs;1;;7046;600;0;0;0;;;14.0033;85.0575;41.3509;90.939;12.94;37.35;13.07;109.11;2.16;6.22;2.18;18.19;0;0;12472703;678219;3541123;16692045;10346221;370983;5974841;-5891508;7046;600;20;11.7;96.3;4263639;4263639;11950569;6768762;215844;5181807;163898;0;338052;3907551;3907551;6519071;3595876;100;2909661;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BL;Hospiz im Park;Stollenrain 12;4144 Arlesheim;K235;priv;A;;;1;;2571;217;0;0;0;;;0.9569;23.1884;26.3158;99.5215;1.33;11.7;0;18.41;0.61;5.39;0;8.48;2;1;2122763;230755;420791;2774309;1952895;96150;725264;-41713;2571;217;8;11.8;87.8;0;0;2586916;1819848;135895;767069;61054;187393;0;0;0;2440637;1267048;45.9;543019;45.9;291958;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BL;Ergolz­Klinik;Hammerstrasse 35;4410 Liestal;K235;priv;A;;BGs;1;;2458;730;0;2;0;;;28.0055;17.2676;39.2077;99.8634;1;9.8;1;13.55;0.14;1.34;0.14;1.86;32;0;2102512;1594965;6070203;9781273;9811443;186984;0;217154;2458;730;21;3.4;32;976552;855320;7341783;3924408;806013;3395037;600048;0;0;734922;695640;7445093;3340716;100;4083176;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BL;Vista Klinik;Hauptstrasse 55;4102 Binningen;K235;priv;A;;BGs;1;;464;203;0;4;0;;;13.9037;58.3851;57.754;99.4652;1.5;6.9;0;10.1;0.74;3.4;0;4.98;5;0;1145938;479635;830310;2456001;1582976;6350;38062;-38062;464;203;4.9;2.3;25.8;0;0;2240144;786846;98966;1453298;190996;0;0;0;0;1564744;584297;45;980447;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
