canton;name;address1;address2;bfs_typo;RWStatus;Akt;SL;WB;AnzStand;SA;PtageStatT;AustStatT;NeugStatT;Ops;Gebs;CMIb;CMIn;pPatWAU;pPatWAK;pPatLKP;pPatHOK;PersA;PersP;PersMT;PersT;PersAFall;PersPFall;PersMTFall;PersTFall;AnzBelA;AnzBelP;AwBesold;AwInvest;AwSonst;AwT;EtMedL;EtSonst;EtSubv;FiErg;PtageStatA;AustStatA;BettenStatA;DADStatA;pBettenBelStatA;KostAmbA;KostOKPAmbA;KostStatA;KostKVGStatA;AnlKVGStatA;KostZvOKPStatA;AnlZvOKPStatA;KostLangA;AuftragLFA;ErlAmbA;ErlOKPAmbA;ErlStatA;ErlKVGStatA;ErlKVGStatVA;ErlZvOKPStatA;ErlZvOKPStatVA;ErlLangA;PtageStatP;AustStatP;BettenStatP;DADStatP;pBettenBelStatP;KostAmbP;KostOKPAmbP;KostStatP;KostKVGStatP;AnlKVGStatP;KostZvOKPStatP;AnlZvOKPStatP;KostLangP;AuftragLFP;ErlAmbP;ErlOKPAmbP;ErlStatP;ErlKVGStatP;ErlKVGStatVP;ErlZvOKPStatP;ErlZvOKPStatVP;ErlLangP;PtageStatR;AustStatR;BettenStatR;DADStatR;pBettenBelStatR;KostAmbR;KostOKPAmbR;KostStatR;KostKVGStatR;AnlKVGStatR;KostZvOKPStatR;AnlZvOKPStatR;KostLangR;AuftragLFR;ErlAmbR;ErlOKPAmbR;ErlStatR;ErlKVGStatR;ErlKVGStatVR;ErlZvOKPStatR;ErlZvOKPStatVR;ErlLangR;PtageStatB;AustStatB;BettenStatB;DADStatB;pBettenBelStatB;KostAmbB;KostOKPAmbB;KostStatB;KostKVGStatB;AnlKVGStatB;KostZvOKPStatB;AnlZvOKPStatB;KostLangB;AuftragLFB;ErlAmbB;ErlOKPAmbB;ErlStatB;ErlKVGStatB;ErlKVGStatVB;ErlZvOKPStatB;ErlZvOKPStatVB;ErlLangB
BE;SRO Spital Region Oberaargau AG  ;St. Urbanstrasse 67;4900 Langenthal;K121;oeff;A;NF, IPS;MSt, Arzt, BGs;2;MRI, CT;52761;7402;551;5;3;0.834;0.85;0.2726;11.2064;12.9228;92.504;94.37;291.74;80.62;700.57;1.27;3.94;1.09;9.46;13;0;74564988;2885893;40048504;117499385;70245076;9545963;37774684;66338;52761;7402;166;7.1;87.1;39118271;33375685;73673294;56382039;3593628;6716400;531083;0;0;31234482;26699437;39529412;51301671;50.6;7581600;50.6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Spitäler FMI AG;Weissenaustrasse 27;3800 Unterseen;K121;oeff;A;NF, IPS;MSt, Arzt, BGs;3;MRI, CT;52748;9149;528;7;4;0.856;0.818;5.4652;5.662;13.8266;88.4045;84.38;255.37;127.77;603.44;0.92;2.79;1.4;6.6;35;7;72810074;3392692;37917628;114146523;69951775;9829679;37233224;2889810;52748;9149;152.1;5.8;95;28312974;24444186;80249618;58684481;5362375;0;0;3402;0;27012688;21139040;74895116;27605563;100;0;;1379;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Hôpital du Jura bernois SA;Les Fontenayes 17;2610 St­Imier;K122;oeff;A;NF;MSt, BGs;2;CT;28368;4302;238;5;1;0.883;0.879;0.4635;17.6251;12.4913;94.2063;50.84;139.68;62.76;400.4;1.18;3.25;1.46;9.31;13;0;39189977;1892895;14347384;55673261;52184634;3738226;0;249599;28368;4302;81.2;6.6;95.7;18228211;18228211;38634055;28719725;2138790;7132231;534045;0;0;14077324;14077025;40249821;18165727;100;6232857;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Klinik Linde AG;Blumenrain 105;2503 Biel;K122;priv;A;NF;BGs;1;MRI, CT, CC;27822;5233;510;4;2;0.834;0.79;0.2851;6.9577;44.0411;99.2587;11.23;131.85;46.73;310.48;0.21;2.52;0.89;5.93;90;0;31132473;6404703;19389449;56926625;56307395;2219738;0;2195528;27822;5233;99;5.3;77;26703151;24776403;44845890;21612172;1785914;23127752;1874127;0;0;24379783;22788009;41521312;20274420;100;21171502;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Psychiatriezentrum Münsingen;Hunzigenstrasse 1;3110 Münsingen;K211;oeff;P;NF;MSt, Arzt, BGs;1;;102983;1954;0;0;0;;;0.4058;1.4033;0.3607;99.7295;50.88;206.91;37.46;489.82;2.6;10.59;1.92;25.07;0;0;49171502;1868846;9316585;60356933;27193656;3717921;29445355;-29422532;;;;;;;;;;;;;;;;;;;;;;;102983;1954;303;52.7;93.1;1346811;1346811;44055903;43858008;5405415;197892;25904;14228055;0;1127755;1127755;21782224;17615077;100;267580;100;8024419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Universitäre Psychiatrische Dienste Bern (UPD);Bolligenstrasse 111;3072 Ostermundigen;K211;oeff;P;NF;MSt, Arzt, BGs;17;;92478;3014;0;0;0;;;0.5934;4.1784;5.0593;98.4385;150.38;385.54;92.09;914.85;4.99;12.79;3.06;30.35;0;0;99384322;3850210;19517063;122751595;49704321;4930523;68116751;-68063187;;;;;;;;;;;;;;;;;;;;;;;92478;3014;282;30.7;89.8;41131486;40274109;67792580;60716473;4629533;4661800;434416;6119628;11545410;15167288;14784338;28846005;24097229;100;2825155;100;2191682;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Privatklinik Meiringen Zentrum für Psychiatrie und Psychotherapie;Willigen;3860 Meiringen;K211;oeff;P;NF;MSt, Arzt, BGs;1;;53089;1026;0;0;0;;;1.8868;29.3478;16.4069;100;26.86;133.62;25.5;267.11;2.62;13.02;2.49;26.03;1;0;28240332;5450647;7633179;41341914;24195156;1917938;15471348;264751;;;;;;;;;;;;;;;;;;;;;;;53089;1026;151.7;51.7;95.9;854408;854408;37003093;23154591;2966732;13848504;1791769;2109269;0;1012040;1012040;36912423;23565688;51.1;13346735;88.2;1600391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Services Psychiatriques Jura Bernois ­ Bienne­Seeland (SPJBB);;2713 Bellelay;K211;oeff;P;NF;Arzt, BGs;3;;42729;709;0;0;0;;;0.8163;14.0947;0;99.7959;35.07;174.26;46.02;356.98;4.95;24.58;6.49;50.35;1;0;35028585;1354856;4596286;40979727;16392809;965168;23621750;-22839221;;;;;;;;;;;;;;;;;;;;;;;42729;709;141;60.3;83;10687742;10687742;20661221;20639935;274246;0;0;8080214;160000;4272921;4183247;9279347;8505267;85.3;0;;3812481;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Privatklinik Wyss AG;Fellenbergstrasse 32;3053 Münchenbuchsee;K212;priv;P;NF;Arzt, BGs;1;;28673;605;0;0;0;;;0.1479;22.2222;41.716;100;19.61;71.48;28.96;189.87;3.24;11.81;4.79;31.38;2;0;17133000;3163000;3339000;23635000;17376000;0;0;-6259000;;;;;;;;;;;;;;;;;;;;;;;28673;605;85.5;47.4;91.9;3695589;3695589;19740731;11078258;1536188;8662474;1233984;0;0;3214003;3191482;16619907;9692151;100;6832552;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Klinik SGM Langenthal Psychosomatik, Psychiatrie, Psychotherapie;Weissensteinstrasse 30;4900 Langenthal;K212;priv;P, R;;MSt, Arzt, BGs;1;;13236;276;0;0;0;;;0.3226;44.3366;11.2903;99.6774;8.93;24.68;15.16;80;3.24;8.94;5.49;28.99;0;0;7128494;571256;1548400;9248150;8362375;9085;16510;-860180;;;;;;;;;;;;;;;;;;;;;;;8968;181;24;49.5;102.4;1795977;1795977;5260183;4798732;590052;461451;56893;0;0;1553357;1553357;4984392;4537797;100;437510;100;0;4268;95;12;44.9;97.4;120779;120779;2455064;2048505;263070;406559;52233;0;0;141411;141411;2393188;1996752;100;396436;100;0;;;;;;;;;;;;;;;;;;;;;;
BE;Regionalspital Emmental AG Psychiatrische Dienste;Oberburgstrasse 54;3400 Burgdorf;K212;oeff;P;;MSt, Arzt, BGs;2;;6335;293;0;0;0;;;0.3257;1.9608;2.9316;99.0228;20.52;34.48;6.96;72.99;7;11.77;2.38;24.91;8;0;8687022;699207;1018132;12111187;5851927;1302477;4972976;74092;;;;;;;;;;;;;;;;;;;;;;;6335;293;18;21.6;96.4;7237201;6899596;4138447;3902978;49713;98106;1447;0;0;7194341;3793125;3811515;1821236;100;52179;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Zentrum für Psychiatrie und Psychotherapie Langenthal SRO;St. Urbanstrasse 67;4900 Langenthal;K212;oeff;P;;Arzt, BGs;2;;5490;143;0;0;0;;;0;8.6093;1.3245;100;18.78;23.45;19.02;75.96;13.13;16.4;13.3;53.12;0;0;9917063;397105;1356019;11670187;6673685;34725;5036620;78842;;;;;;;;;;;;;;;;;;;;;;;5490;143;16;38.4;94;8725064;8658134;4526411;4223445;108299;184968;4743;0;0;4649956;4596188;2088460;6342718;29.4;273783;29.8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Soteria Bern;Bühlstrasse 19;3012 Bern;K212;oeff;P;;Arzt, BGs;1;;3706;62;0;0;0;;;0;16.129;0;98.3871;0;6.96;8.15;16.75;0;11.23;13.15;27.02;3;0;1630755;134168;440095;2205018;1374000;40691;923000;132671;;;;;;;;;;;;;;;;;;;;;;;3706;62;8;59.8;126.9;272971;272971;1913935;1913935;121482;0;0;18113;0;269059;269059;2014384;2014384;54.2;0;;13556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Berner Reha Zentrum AG Heiligenschwendi ;Schwendi 303;3625 Heiligenschwendi;K221;oeff;R;;Arzt, BGs;1;;42563;2135;0;0;0;;;0.3119;9.7452;24.7772;91.8895;18.25;97.89;28.18;221.47;0.85;4.59;1.32;10.37;0;0;22471025;744207;5409514;29037491;27184037;2258628;0;441845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42563;2135;123;19.9;94.8;217948;198888;26932117;18684725;0;7760350;0;0;0;93116;83305;27821286;8420589;100;4903584;100;0;;;;;;;;;;;;;;;;;;;;;;
BE;Berner Klinik Montana;Rathausgasse 1;3011 Bern;K221;oeff;R;;Arzt, BGs;1;;30647;1302;0;0;0;;;0.1537;28.7914;23.2129;97.6172;11.91;56.47;29.55;157.28;0.91;4.34;2.27;12.08;0;0;14449589;857273;4573007;19895893;18950024;1053467;0;107598;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30647;1302;94;23.5;89.3;6759;6759;21514114;13679250;2004691;6415118;768544;0;0;0;0;18991150;7051162;100;4672403;100;0;;;;;;;;;;;;;;;;;;;;;;
BE;Gesundheitszentrum Schönberg Gunten AG;Schönbergstrasse 36a;3654 Gunten;K221;priv;R;;BGs;1;;28297;1593;0;0;0;;;0.06;15.2553;37.2749;96.1585;4.73;51.82;17.72;154.72;0.3;3.25;1.11;9.71;5;0;11585334;1720731;4076562;18447170;17315944;1562935;0;767981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28297;1593;90;17.8;86.1;3747687;3747687;13086293;7178513;0;5732135;0;0;0;3980862;3827316;13136346;6344360;100;6297050;100;0;;;;;;;;;;;;;;;;;;;;;;
BE;Reha­Klinik Haslibergerhof;Kurhaus Haslibergerhof;6083 Hasliberg Hohfluh;K221;priv;R;NF;BGs;1;;14182;746;0;0;0;;;0.2608;76.3399;31.6819;100;6.61;29.71;16.64;100.71;0.89;3.98;2.23;13.5;1;0;7107530;1248634;2796662;11174534;8468833;2348207;292211;-292211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14182;746;48.4;19;80.3;0;0;9489892;4745136;474403;4744756;474365;0;0;0;0;8398513;3594389;100;4804124;100;0;;;;;;;;;;;;;;;;;;;;;;
BE;Kurklinik Eden AG orthopädische Rehabilitation & Kuren aller Art;Panoramastrasse;3854 Oberried Brienz;K221;priv;R;;Arzt, BGs;1;;7964;475;0;0;0;;;0;12.4211;29.6842;96;2;14.75;5.21;45.13;0.42;3.11;1.1;9.5;0;0;3985202;648739;1089736;5732856;5536015;137273;0;104480;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7964;475;25;16.8;87.3;0;0;3636091;2356540;238199;1175980;157654;2021544;0;0;0;3456530;1995872;100;937796;100;2216758;;;;;;;;;;;;;;;;;;;;;;
BE;Reha­Pflegeklinik Eden AG;Brandstrasse 217;3852 Ringgenberg BE;K221;priv;R;;BGs;1;;1628;73;0;0;0;;;0;9.9099;16.2162;100;0;3.53;0;5.44;0;4.84;0;7.45;0;0;591469;53070;231471;876010;862610;14781;0;1381;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1628;73;5;22.3;89.2;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;
BE;Klinik Siloah;Worbstrasse 324;3073 Gümligen;K231;priv;A;NF;BGs;1;;7067;1651;0;4;0;0.83;0.793;0.0606;10.4848;20.109;79.2247;2;43.08;8.84;71.36;0.12;2.61;0.54;4.32;0;0;7906142;1545192;17573643;27026624;26357368;500379;0;-144088;7067;1651;23.5;4.3;82.4;13191222;11863280;13363482;7561524;477412;3118168;222269;0;0;12993141;11075545;13167311;7514397;100;3108235;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Klinik Hohmad AG;Hohmadstrasse 1;3600 Thun;K231;priv;A;;BGs;1;;4904;1260;0;3;0;0.798;0.735;0.6349;2.0767;23.254;87.4603;4.9;21.48;7.94;51.22;0.39;1.7;0.63;4.07;23;0;5878735;76497;9677513;16443025;15804603;75762;0;-614500;4904;1260;14.9;3.9;90.4;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Privatklinik Piano;Gottstattstrasse 24;2504 Biel;K231;priv;A;;MSt, Arzt, BGs;1;;484;242;0;1;0;0.611;0.421;0;12.8099;19.4215;97.5207;2.78;1.33;0.5;12.72;1.15;0.55;0.21;5.26;6;0;1025243;222758;564177;1812178;1552469;0;259709;-259709;484;242;2;2;66.3;131176;131176;1024672;712473;103549;300914;44378;0;0;91231;91231;899117;579382;100;319735;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0
BE;Geburtshaus Luna Biel;Brüggstrasse 111;2503 Biel;K232;priv;B;;BGs;1;;287;119;81;0;2;0.414;0.393;0;20.5;0;100;0;10.28;0;11.37;0;8.64;0;9.55;1;2;623106;12916;131411;788878;648200;67805;47050;-47050;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;287;119;1;2.4;78.6;0;0;22946;22946;0;0;0;0;0;210730;141541;505275;505193;100;0;;0
BE;Bethesda Klinik für Epilepsie und Neurorehabilitation;;3233 Tschugg;K235;oeff;R;;Arzt, BGs;1;;48596;764;0;0;0;;;0.1125;22.973;23.622;97.3003;12.22;107.85;48.67;255.77;1.6;14.12;6.37;33.48;0;0;25046311;881676;5857990;31795897;19908442;1374693;12374668;1861906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48596;764;140;63.6;95.1;678401;659443;21908508;15479286;1099096;5829437;402991;9907226;0;791098;733212;22367160;7297430;82.7;6420088;73.4;10236259;;;;;;;;;;;;;;;;;;;;;;
BE;südhang Klinik für Suchttherapien;Südhang 1;3038 Kirchlindach;K235;oeff;P;;;4;;21360;345;0;0;0;;;0;24.8062;0;100;8.08;10.46;26.23;76.16;2.34;3.03;7.6;22.08;2;0;8779047;1084978;2845344;12746058;5066538;1258450;6642772;241597;;;;;;;;;;;;;;;;;;;;;;;21360;345;63;61.9;92.9;1562837;1562837;9624325;9624325;822360;0;0;0;0;2070535;1276799;9839800;3759690;100;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Klinik Wysshölzli;Waldrandweg 19;3360 Herzogenbuchsee;K235;oeff;P;;BGs;1;;12784;120;0;0;0;;;0.6711;54.7297;0;71.8121;1.8;8.22;8;35.35;1.5;6.85;6.67;29.46;1;0;3962758;570103;1016029;5549230;5088524;66774;37264;-393932;;;;;;;;;;;;;;;;;;;;;;;12784;120;37;106.5;94.7;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Klinik Selhofen;Emmentalstrasse 8;3402 Burgdorf;K235;oeff;P;;;1;;7301;230;0;0;0;;;0;1.2195;0;100;0;12.27;4.82;25.9;0;5.33;2.1;11.26;3;2;3235697;348770;925376;4509843;4354110;68209;4987;419;;;;;;;;;;;;;;;;;;;;;;;7301;230;20;31.7;100;0;0;4530957;4530957;260698;0;0;0;0;0;0;4397976;4354111;37.2;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Stiftung Diaconis Palliative Care Diakonissenhaus Bern;Schänzlistrasse 15;3013 Bern;K235;priv;A;;BGs;1;;3001;176;0;0;0;;;0;6.2147;0;100;0;16.31;0;18.6;0;9.27;0;10.57;8;0;2405141;177067;460628;3042836;2817105;84232;0;11666;3001;176;9;17.1;91.4;0;0;2953631;2953631;236396;0;0;0;0;0;0;2905970;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BL;Kantonsspital Baselland;Mühlemattstrasse 26;4410 Liestal;K112;oeff;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BL;Ita Wegman Klinik;Pfeffingerweg 1;4144 Arlesheim;K123;priv;A, P;;MSt, Arzt, BGs;1;;19969;1009;0;0;0;0.728;1.12;3.8059;57.1711;34.1579;99.5243;30.95;68.42;40.13;214.2;3.07;6.78;3.98;21.23;2;0;16847733;1238486;7078096;25182167;23475512;1534058;257790;85194;10724;757;34;14.2;86.4;6335282;0;8788691;4592564;367732;4157060;356063;0;0;5197399;0;7230694;3461569;100;3741675;100;0;9245;252;29;36.7;87.3;229714;0;5632489;4395683;392963;1236805;122667;0;0;215055;0;5291567;3948090;100;1343477;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BL;Psychiatrie Baselland;Bienentalstrasse 7;4410 Liestal;K211;oeff;P;NF;MSt, Arzt, BGs;1;;66082;1680;0;0;0;;;0.6121;12.9899;5.5092;94.1569;28.77;204.49;37.27;432.08;1.71;12.17;2.22;25.72;0;0;42335593;3493641;9997227;55826461;25404020;2977251;27445190;0;;;;;;;;;;;;;;;;;;;;;;;66082;1680;191;39.3;94.8;624577;581046;48492405;42938292;2709428;5436361;311206;0;551310;196027;163033;48492405;20367561;100;4328484;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BL;Klinik ESTA  ;Gstadstrasse 42;4153 Reinach BL;K212;oeff;P;;Arzt, BGs;1;;4687;128;0;0;0;;;0;37.8571;0;100;0.79;10.77;3.02;19.83;0.62;8.41;2.36;15.49;3;2;1610614;48964;704121;2364334;2298461;36320;0;-29553;;;;;;;;;;;;;;;;;;;;;;;4687;128;15;36.6;85.6;0;0;2088793;2088793;30228;0;0;0;0;0;0;2334780;2298461;44.9;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BL;Hirslanden Klinik Birshof;Reinacherstrasse 28;4142 Münchenstein;K231;priv;A;;Arzt, BGs;1;;14239;2337;0;4;0;0.912;0.9;8.801;33.986;56.9303;69.7704;8.69;31.5;55.41;132.65;0.37;1.35;2.37;5.68;0;0;13914546;4438236;12571709;30936939;28351525;1804009;0;-781406;14239;2337;43;6.1;90.7;8704772;0;22370191;6576280;1014880;11135062;1436251;0;0;5346530;5346510;23092450;4390077;100;11582896;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BL;Praxisklinik Rennbahn AG;St. Jakobs­Strasse 106;4132 Muttenz;K231;priv;A;;MSt, Arzt, BGs;1;;2645;490;0;1;0;0.772;0.747;17.9592;60.4478;58.9796;36.7347;10.44;12.07;28.43;63.38;2.13;2.46;5.8;12.93;3;3;7322018;910312;3774879;12232494;9989780;2963155;0;720442;2645;490;8.5;5.4;85.2;7909877;0;4541938;114803;9708;2782696;192299;0;0;7004200;0;5524407;75574;100;4318433;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BL;Geburtshaus Ambra;Unterdorfstrasse 25;4443 Wittinsburg;K232;priv;B;;;1;;141;36;35;0;2;0.408;0.398;0;14.2857;0;98.4127;0;1.84;0;2.7;0;5.11;0;7.5;0;3;171632;39932;153419;364983;154728;48299;0;-126605;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;141;36;0.8;3.9;47;77939;77939;287044;287044;74429;0;0;0;0;57749;57255;180980;96913;100;0;;0
BL;Ita Wegman Geburtshaus;Pfeffingerweg 1;4144 Arlesheim;K232;priv;B;;BGs;1;;8;8;0;0;2;0.202;0.202;12.5;85.7143;0;100;;;;;;;;;0;0;0;30000;12320;42320;11000;20900;10420;-10420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;8;1;1;2.2;34905;0;0;0;0;0;0;0;0;30000;0;0;0;;0;;0
BL;Geburtshaus Tagmond;Hauptstrasse 26;4133 Pratteln;K232;priv;B;;BGs;1;;5;5;2;0;1;0.262;0.236;25;16.6667;0;100;0;0;0;0.08;0;0;0;1.6;0;0;5093;37143;31179;73603;72870;10;1805;1082;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;1;1;1.4;70536;0;3067;0;0;0;0;0;0;71573;0;3111;0;;0;;0
BL;Lukas Klinik;Brachmattstrasse 19;4144 Arlesheim;K235;priv;A;;Arzt, BGs;1;;10805;539;0;0;0;;;19.7441;84.9658;80.8044;83.9122;12.67;39.81;14.3;108.38;2.35;7.39;2.65;20.11;0;0;12529148;590304;3563523;16682975;10452663;432785;5797527;-5797527;10805;539;36;20;82.2;3510844;3510844;12830766;2084698;64406;10746068;331037;0;225585;3694149;3527237;7229329;1167346;100;5721057;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BL;Hospiz im Park;Stollenrain 12;4144 Arlesheim;K235;priv;A;;Arzt;1;;2583;193;0;0;0;;;0.5587;21.3483;29.0503;100;0.9;10.72;0;16.74;0.47;5.55;0;8.67;0;1;1974223;245262;441664;2661149;1504020;100130;1056999;-282235;2583;193;10;13.4;70.8;0;0;2477194;1741010;144435;736183;64891;183955;0;0;0;2055898;985474;100;442749;100;323016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BL;Ergolz­Klinik;Hammerstrasse 35;4410 Liestal;K235;priv;A;;;1;;1091;335;10;2;1;;;68.9855;21.4953;93.6232;100;1;8.6;0.9;12.65;0.3;2.57;0.27;3.78;32;1;2123000;791000;3348000;6262000;5974000;9000;0;-243000;1091;335;19;3.3;15.7;1835500;1835500;4622900;0;0;4622900;721200;0;0;1677000;1062000;4297000;0;;4297000;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BL;Vista Klinik;Hauptstrasse 55;4102 Binningen;K235;priv;A;;MSt, Arzt, BGs;1;;236;118;0;4;0;;;39.8305;61.9718;86.4407;86.4407;9.79;7.75;22.51;64.25;8.3;6.57;19.08;54.45;5;0;6199950;1774647;10521159;19124356;21165421;62440;0;2699242;236;118;0.7;2;90.8;18475595;11512696;648761;0;0;648761;216000;0;0;20599811;20537371;628050;0;;628050;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BS;Universitätsspital Basel;Hebelstrasse 32;4056 Basel;K111;oeff;A, R;NF, IPS;MSt, Arzt, BGs;1;MRI, CT, PET, CC, LB;229762;29306;2335;23;5;1.159;1.177;7.0135;40.2768;24.3241;90.2921;1188.57;1345.69;886.79;4789.13;4.06;4.59;3.03;16.34;0;69;522212218;69748546;256263509;849486125;562988959;40562371;245871035;-191146035;219547;28652;643;7.7;93.5;206964482;190596156;501799778;301678211;30451546;182210674;17469762;0;54968110;154738859;142675834;463469047;206110489;100;150086332;100;0;;;;;;;;;;;;;;;;;;;;;;;10215;654;28;15.6;100;2109597;1942142;12845102;8097969;860853;4281965;440221;0;0;897930;825976;7320188;4158656;100;2829412;100;0;;;;;;;;;;;;;;;;;;;;;;
BS;St. Claraspital;Kleinriehenstrasse 30;4058 Basel;K121;oeff;A;NF, IPS;MSt, Arzt, BGs;1;MRI, CT, PET, CC, LB;71618;9356;0;7;0;1.011;1.043;7.8942;33.7224;45.5312;98.809;91.01;375.98;77.38;669.04;0.97;4.02;0.83;7.15;0;0;85644089;24272878;42948928;152865895;86765918;3431641;17652787;-44105493;71618;9356;229;7.7;85.7;36154591;36154591;106270809;47748292;10354692;57618600;10740825;0;0;29856465;29211940;78903937;30102606;100;26613246;69.6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BS;Bethesda Spital AG;Gellertstrasse 144;4052 Basel;K122;oeff;A, R;;Arzt, BGs;1;MRI, CT;28616;4196;965;4;3;0.745;0.758;3.0956;71.4484;44.0108;99.1732;33.06;183.13;59.66;387.3;0.79;4.36;1.42;9.23;136;17;38356700;8562666;21066917;68494854;61342700;4795100;2527500;658100;20277;3680;76.3;5.5;72.8;21729892;19547108;34970022;4083663;467746;9116700;1139011;0;0;20136138;18046727;36928642;1611433;100;21376570;50;0;;;;;;;;;;;;;;;;;;;;;;;8339;516;42;16.2;54.4;0;0;7066597;1114943;147461;1532968;217626;0;0;0;0;7007821;332701;100;5468437;46.7;0;;;;;;;;;;;;;;;;;;;;;;
